1,Todd Gurley,LA
2,David Johnson,ARI
3,Adrian Peterson,MIN
4,Ezekiel Elliott,DAL
5,Lamar Miller,HOU
6,Jamaal Charles,KC
7,Doug Martin,TB
8,Mark Ingram,NO
9,Le'Veon Bell,PIT
10,Eddie Lacy,GB
11,Devonta Freeman,ATL
12,LeSean McCoy,BUF
13,C.J. Anderson,DEN
14,Thomas Rawls,SEA
15,Latavius Murray,OAK
16,Matt Forte,NYJ
17,Carlos Hyde,SF
18,Jonathan Stewart,CAR
19,Jeremy Hill,CIN
20,Matt Jones,WAS
21,Ryan Mathews,PHI
22,DeMarco Murray,TEN
23,Dion Lewis,NE
24,Jeremy Langford,CHI
25,Frank Gore,IND
26,Melvin Gordon,SD
27,Ameer Abdullah,DET
28,Giovani Bernard,CIN
29,Duke Johnson,CLE
30,Chris Ivory,JAC
31,Rashad Jennings,NYG
32,Danny Woodhead,SD
33,Arian Foster,MIA
34,T.J. Yeldon,HAC
35,Justin Forsett,BAL
36,DeAngelo Williams,PIT
37,Jay Ajayi,MIA
38,LeGarrette Blount,NE
39,Isaiah Crowell,CLE
40,Charles Sims,TB
41,Tevin Coleman,ATL
42,Derrick Henry,TEN
43,Javorius Allen,BAL
44,Bilal Powell,NYJ
45,Theo Riddick,DET
46,Chris Johnson,ARI
47,C.J. Prosise,SEA
48,Devontae Booker,DEN
49,Spencer Ware,KC
50,Kenneth Dixon,BAL