1,Antonio Brown,PIT
2,Julio Jones,ATL
3,Odell Beckham Jr.,NYG
4,DeAndre Hopkins,HOU
5,A.J. Green,CIN
6,Dez Bryant,DAL
7,Allen Robinson,JAC
8,Keenan Allen,SD
9,Alshon Jeffery,CHI
10,Jordy Nelson,GB
11,Brandon Marshall,NYJ
12,Mike Evans,TB
13,Brandin Cooks,NO
14,Amari Cooper,OAK
15,Demaryius Thomas,DEN
16,T.Y. Hilton,IND
17,Julian Edelman,NE
18,Randall Cobb,GB
19,Sammy Watkins,BUF
20,Jarvis Landry,MIA
21,Jeremy Maclin,KC
22,Golden Tate,DET
23,Eric Decker,NYJ
24,Kelvin Benjamin,CAR
25,Doug Baldwin,SEA
26,Jordan Matthews,PHI
27,Donte Moncrief,IND
28,Michael Floyd,ARI
29,Emmanuel Sanders,DEN
30,John Brown,ARI
31,Larry Fitzgerald,ARI
32,Allen Hurns,JAC
33,Josh Gordon,CLE
34,Michael Crabtree,OAK
35,DeVante Parker,MIA
36,DeSean Jackson,WAS
37,Marvin Jones,DET
38,Tyler Lockett,SEA
39,Torrey Smith,SF
40,Kevin White,CHI
41,Tavon Austin,LA
42,Sterling Shepard,NYG
43,Willie Snead,NO
44,Markus Wheaton,PIT
45,Corey Coleman,CLE
46,Stefon Diggs,MIN
47,Kamar Aiken,BAL
48,Travis Benjamin,SD
49,Mike Wallace,BAL
50,Laquon Treadwell,MIN