1,Todd Gurley,LA,176
2,David Johnson,ARI,164
3,Adrian Peterson,MIN,217
4,Ezekiel Elliott,DAL,Rookie
5,Lamar Miller,HOU,173
6,Jamaal Charles,KC,75
7,Doug Martin,TB,187
8,Mark Ingram,NO,143
9,Le'Veon Bell,PIT,83
10,Eddie Lacy,GB,109
11,Devonta Freeman,ATL,230
12,LeSean McCoy,BUF,137
13,C.J. Anderson,DEN,103
14,Thomas Rawls,SEA,111
15,Latavius Murray,OAK,148
16,Matt Forte,NYJ,159
17,Carlos Hyde,SF,66
18,Jonathan Stewart,CAR,139
19,Jeremy Hill,CIN,145
20,Matt Jones,WAS,84
21,Ryan Mathews,PHI,95
22,DeMarco Murray,TEN,129
23,Dion Lewis,NE,77
24,Jeremy Langford,CHI,115
25,Frank Gore,IND,147
26,Melvin Gordon,SD,64
27,Ameer Abdullah,DET,78
28,Giovani Bernard,CIN,119
29,Duke Johnson,CLE,90
30,Chris Ivory,JAC,159
31,Rashad Jennings,NYG,125
32,Danny Woodhead,SD,149
33,Arian Foster,MIA,51
34,T.J. Yeldon,HAC,109
35,Justin Forsett,BAL,83
36,DeAngelo Williams,PIT,179
37,Jay Ajayi,MIA,31
38,LeGarrette Blount,NE,110
39,Isaiah Crowell,CLE,107
40,Charles Sims,TB,117
41,Tevin Coleman,ATL,37
42,Derrick Henry,TEN,Rookie
43,Javorius Allen,BAL,87
44,Bilal Powell,NYJ,79
45,Theo Riddick,DET,87
46,Chris Johnson,ARI,96
47,C.J. Prosise,SEA,Rookie
48,Devontae Booker,DEN,Rookie
49,Spencer Ware,KC,72
50,Kenneth Dixon,BAL,Rookie