1,Antonio Brown,PIT,382
2,Julio Jones,ATL,375
3,Odell Beckham Jr.,NYG,319
4,DeAndre Hopkins,HOU,331
5,A.J. Green,CIN,273
6,Dez Bryant,DAL,85
7,Allen Robinson,JAC,304
8,Keenan Allen,SD,161
9,Alshon Jeffery,CHI,158
10,Jordy Nelson,GB,Injured
11,Brandon Marshall,NYJ,339
12,Mike Evans,TB,210
13,Brandin Cooks,NO,253
14,Amari Cooper,OAK,212
15,Demaryius Thomas,DEN,267
16,T.Y. Hilton,IND,211
17,Julian Edelman,NE,172
18,Randall Cobb,GB,208
19,Sammy Watkins,BUF,218
20,Jarvis Landry,MIA,270
21,Jeremy Maclin,KC,242
22,Golden Tate,DET,209
23,Eric Decker,NYJ,252
24,Kelvin Benjamin,CAR,Injured
25,Doug Baldwin,SEA,268
26,Jordan Matthews,PHI,230
27,Donte Moncrief,IND,173
28,Michael Floyd,ARI,173
29,Emmanuel Sanders,DEN,224
30,John Brown,ARI,207
31,Larry Fitzgerald,ARI,280
32,Allen Hurns,JAC,225
33,Josh Gordon,CLE,Suspended
34,Michael Crabtree,OAK,231
35,DeVante Parker,MIA,90
36,DeSean Jackson,WAS,102
37,Marvin Jones,DET,173
38,Tyler Lockett,SEA,153
39,Torrey Smith,SF,120
40,Kevin White,CHI,Injured
41,Tavon Austin,LA,192
42,Sterling Shepard,NYG,Rookie
43,Willie Snead,NO,183
44,Markus Wheaton,PIT,150
45,Corey Coleman,CLE,Rookie
46,Stefon Diggs,MIN,149
47,Kamar Aiken,BAL,297
48,Travis Benjamin,SD,191
49,Mike Wallace,BAL,93
50,Laquon Treadwell,MIN,Rookie