1,Antonio Brown,PIT,246
2,Odell Beckham Jr.,NYG,223
3,Julio Jones,ATL,239
4,DeAndre Hopkins,HOU,220
5,A.J. Green,CIN,187
6,Dez Bryant,DAL,54
7,Allen Robinson,JAC,224
8,Mike Evans,TB,136
9,Jordy Nelson,GB,Injured
10,Alshon Jeffery,CHI,104
11,Brandon Marshall,NYJ,230
12,Keenan Allen,SD,94
13,Brandin Cooks,NO,169
14,Amari Cooper,OAK,140
15,Demaryius Thomas,DEN,162
16,Sammy Watkins,BUF,158
17,T.Y. Hilton,IND,142
18,Jeremy Maclin,KC,155
19,Randall Cobb,GB,129
20,Kelvin Benjamin,CAR,Injured
21,Julian Edelman,NE,111
22,Golden Tate,DET,119
23,Eric Decker,NYJ,172
24,Doug Baldwin,SEA,190
25,Jarvis Landry,MIA,159
26,Michael Floyd,ARI,120
27,Donte Moncrief,IND,109
28,Jordan Matthews,PHI,145
29,John Brown,ARI,142
30,Emmanuel Sanders,DEN,148
31,Allen Hurns,JAC,161
32,DeVante Parker,MIA,64
33,DeSean Jackson,WAS,72
34,Josh Gordon,CLE,Suspended
35,Larry Fitzgerald,ARI,171
36,Michael Crabtree,OAK,146
37,Tyler Lockett,SEA,102
38,Marvin Jones,DET,108
39,Torrey Smith,SF,92
40,Kevin White,CHI,Injured
41,Corey Coleman,CLE,Rookie
42,Tavon Austin,LA,140
43,Markus Wheaton,PIT,106
44,Sterling Shepard,NYG,Rookie
45,Stefon Diggs,MIN,97
46,Willie Snead,NO,114
47,Laquon Treadwell,MIN,Rookie
48,Vincent Jackson,TB,70
49,Devin Funchess,CAR,70
50,Mike Wallace,BAL,54